Freq(Hz) SPL(dB) Phase(degrees)
12444.133 97.226 6.669
12534.309 96.913 6.803
12625.137 96.578 7.454
12716.624 96.257 8.784
12808.773 96.008 10.660
12901.592 95.864 12.705
12995.082 95.805 14.550
13089.250 95.776 16.063
13184.100 95.737 17.423
13279.637 95.685 18.973
13375.867 95.660 20.970
13472.794 95.723 23.376
13570.423 95.920 25.866
13668.760 96.267 27.975
13767.810 96.736 29.238
13867.577 97.267 29.301
13968.067 97.773 28.020
14069.285 98.170 25.533
14171.237 98.408 22.239
14273.928 98.471 18.658
14377.362 98.384 15.275
14481.547 98.180 12.335
14586.486 97.883 9.862
14692.186 97.517 7.893
14798.651 97.098 6.535
14905.889 96.644 5.887
15013.902 96.186 5.975
15122.700 95.752 6.828
15232.285 95.391 8.432
15342.664 95.168 10.468
15453.844 95.095 12.378
15565.829 95.105 13.800
15678.625 95.115 14.867
15792.239 95.129 16.004
15906.676 95.213 17.325
16021.942 95.405 18.507
16138.044 95.688 19.214
16254.986 96.031 19.289
16372.777 96.407 18.688
16491.422 96.812 17.396
16610.924 97.252 15.272
16731.295 97.699 12.040
16852.535 98.104 7.528
16974.656 98.389 1.672
17097.662 98.483 -5.365
17221.559 98.346 -13.198
17346.354 97.933 -21.358
17472.053 97.218 -29.147
17598.662 96.215 -35.732
17726.189 95.002 -40.512
17854.641 93.688 -43.485
17984.021 92.363 -44.994
18114.342 91.090 -45.290
18245.605 89.890 -44.580
18377.820 88.774 -43.094
18510.994 87.762 -41.063
18645.133 86.860 -38.797
18780.242 86.056 -36.580
18916.332 85.319 -34.617
19053.408 84.598 -32.902
19191.477 83.861 -31.214
19330.547 83.119 -29.474
19470.623 82.403 -27.977
19611.715 81.696 -27.141
19753.830 80.906 -27.006
19896.975 79.935 -27.093
