Freq(Hz) SPL(dB) Phase(degrees)
5,120.000 117.254 143.444
5,157.102 116.766 143.612
5,194.472 116.272 144.181
5,232.113 115.780 145.165
5,270.027 115.305 146.621
5,308.216 114.874 148.551
5,346.682 114.510 150.820
5,385.426 114.225 153.284
5,424.451 114.025 155.830
5,463.759 113.917 158.305
5,503.352 113.892 160.487
5,543.231 113.924 162.148
5,583.399 113.969 163.232
5,623.859 113.994 163.936
5,664.612 114.005 164.511
5,705.660 114.038 164.923
5,747.006 114.092 164.848
5,788.651 114.119 164.079
5,830.598 114.059 162.767
5,872.849 113.886 161.263
5,915.406 113.607 159.917
5,958.271 113.248 158.931
6,001.447 112.842 158.345
6,044.937 112.407 158.167
6,088.740 111.955 158.368
6,132.862 111.497 158.907
6,177.303 111.045 159.725
6,222.066 110.603 160.766
6,267.154 110.176 161.990
6,312.568 109.763 163.380
6,358.312 109.366 164.912
6,404.387 108.983 166.516
6,450.796 108.608 168.163
6,497.541 108.243 169.864
6,544.625 107.889 171.621
6,592.050 107.535 173.416
6,639.818 107.175 175.229
6,687.934 106.802 177.096
6,736.397 106.415 179.107
6,785.211 106.021 -178.654
6,834.380 105.631 -176.139
6,883.905 105.261 -173.378
6,933.789 104.918 -170.453
6,984.034 104.601 -167.436
7,034.643 104.314 -164.365
7,085.619 104.059 -161.255
7,136.964 103.839 -158.139
7,188.681 103.647 -155.076
7,240.773 103.473 -152.113
7,293.243 103.309 -149.261
7,346.093 103.149 -146.515
7,399.326 102.985 -143.856
7,452.944 102.818 -141.251
7,506.951 102.646 -138.669
7,561.350 102.462 -136.066
7,616.143 102.266 -133.393
7,671.332 102.063 -130.585
7,726.922 101.861 -127.589
7,782.915 101.676 -124.379
7,839.312 101.535 -120.997
7,896.120 101.457 -117.591
7,953.338 101.439 -114.372
8,010.971 101.457 -111.484
8,069.022 101.489 -108.972
8,127.493 101.522 -106.849
8,186.389 101.544 -105.132
8,245.711 101.543 -103.862
8,305.462 101.495 -103.114
8,365.647 101.347 -102.878
8,426.268 101.034 -102.846
8,487.328 100.524 -102.260
8,548.831 99.870 -100.273
8,610.779 99.208 -96.575
8,673.177 98.690 -91.690
8,736.026 98.368 -86.547
8,799.331 98.170 -81.600
8,863.095 98.050 -76.804
8,927.320 98.015 -72.163
8,992.011 98.060 -67.820
9,057.171 98.169 -63.921
9,122.803 98.318 -60.576
9,188.910 98.479 -57.859
9,255.497 98.622 -55.779
9,322.566 98.725 -54.249
9,390.121 98.782 -53.160
9,458.166 98.786 -52.486
9,526.704 98.713 -52.213
9,595.738 98.545 -52.252
9,665.273 98.273 -52.495
9,735.312 97.870 -52.828
9,805.857 97.323 -52.980
9,876.915 96.653 -52.601
9,948.487 95.884 -51.530
10,020.578 95.025 -49.813
10,093.191 94.072 -47.376
10,166.331 93.030 -43.981
10,240.000 91.937 -39.457
10,314.203 90.824 -33.764
10,388.944 89.698 -26.877
10,464.227 88.558 -18.618
10,540.055 87.411 -8.494
10,616.433 86.337 4.179
10,693.363 85.568 19.580
10,770.853 85.427 36.687
10,848.902 86.058 53.409
10,927.518 87.236 67.751
11,006.703 88.641 78.970
11,086.462 90.085 87.308
11,166.799 91.478 93.200
11,247.719 92.764 97.044
11,329.224 93.894 99.245
11,411.320 94.836 100.281
11,494.012 95.587 100.678
11,577.302 96.177 100.918
11,661.195 96.660 101.323
11,745.697 97.101 101.915
11,830.812 97.536 102.356
11,916.543 97.942 102.211
12,002.895 98.260 101.316
12,089.873 98.436 99.885
12,177.480 98.439 98.275
12,265.724 98.261 96.906
12,354.606 97.934 96.200
12,444.133 97.504 96.374
12,534.309 97.018 97.430
12,625.137 96.518 99.262
12,716.624 96.025 101.685
12,808.773 95.548 104.540
12,901.592 95.087 107.762
12,995.082 94.628 111.328
13,089.250 94.155 115.230
13,184.100 93.658 119.532
13,279.637 93.146 124.413
13,375.867 92.654 130.034
13,472.794 92.220 136.478
13,570.423 91.912 143.721
13,668.760 91.777 151.464
13,767.810 91.846 159.181
13,867.577 92.104 166.306
13,968.067 92.480 172.352
14,069.285 92.885 177.143
14,171.237 93.234 -179.195
14,273.928 93.461 -176.284
14,377.362 93.554 -173.581
14,481.547 93.536 -170.656
14,586.486 93.443 -167.296
14,692.186 93.336 -163.349
14,798.651 93.271 -158.801
14,905.889 93.271 -153.853
15,013.902 93.358 -148.720
15,122.700 93.552 -143.685
15,232.285 93.845 -139.155
15,342.664 94.185 -135.428
15,453.844 94.515 -132.530
15,565.829 94.805 -130.271
15,678.625 95.037 -128.476
15,792.239 95.196 -126.993
15,906.676 95.300 -125.642
16,021.942 95.387 -124.476
16,138.044 95.461 -123.826
16,254.986 95.475 -123.891
16,372.777 95.369 -124.572
16,491.422 95.088 -125.565
16,610.924 94.608 -126.381
16,731.295 93.942 -126.466
16,852.535 93.146 -125.439
16,974.656 92.305 -123.216
17,097.662 91.503 -120.021
17,221.559 90.779 -116.371
17,346.354 90.124 -112.706
17,472.053 89.502 -109.225
17,598.662 88.860 -106.055
17,726.189 88.144 -103.180
17,854.641 87.308 -100.315
17,984.021 86.331 -96.962
18,114.342 85.220 -92.678
18,245.605 84.008 -87.109
18,377.820 82.763 -80.115
18,510.994 81.553 -71.928
18,645.133 80.405 -62.754
18,780.242 79.317 -52.513
18,916.332 78.293 -40.973
19,053.408 77.400 -27.880
19,191.477 76.775 -13.276
19,330.547 76.563 2.085
19,470.623 76.815 16.979
19,611.715 77.450 30.354
19,753.830 78.287 41.475
19,896.975 79.047 49.397
