*	Measurement	data	measured	by	REW	V5.20	Beta	4												
*	Source:	Microphone	(E.A.R.S	Gain:	18dB	),	no	input	selected,	L,	volume:	no	control							
*	Format:	256k	Log	Swept	Sine,	1	sweep	at	-8	dBFS	With	no	timing	reference						
*	Dated:	Jan	28,	2019	11.32.59	AM														
*	REW	Settings:																		
*	C-weighting	compensation:	Off																	
*	Target	level:	75	dB																
*	Note:	Really	big	difference	between	R	&	L.	We	had	to	adjust	fit	several	times	to	get	a	good	measurement
*	Measurement:	Bose	QC	35	II	L														
*	Smoothing:	Jan/48	octave																	
*	Frequency	Step:	Jan/96	octave																
*	Start	Frequency:	20,1	Hz																
*																				
*	Freq(Hz)	SPL(dB)	Phase(degrees)																	
1.375,84	101,394	-18,336																		
1.385,81	101,25	-18,146																		
1.395,85	101,095	-17,896																		
1.405,97	100,938	-17,521																		
1.416,15	100,797	-17,057																		
1.426,42	100,676	-16,627																		
1.436,75	100,56	-16,294																		
1.447,16	100,438	-16,031																		
1.457,65	100,307	-15,786																		
1.468,21	100,167	-15,531																		
1.478,85	100,019	-15,254																		
1.489,57	99,864	-14,95																		
1.500,36	99,705	-14,604																		
1.511,23	99,54	-14,202																		
1.522,19	99,373	-13,734																		
1.533,22	99,202	-13,202																		
1.544,33	99,03	-12,602																		
1.555,52	98,855	-11,923																		
1.566,79	98,68	-11,157																		
1.578,14	98,506	-10,301																		
1.589,58	98,338	-9,348																		
1.601,10	98,18	-8,305																		
1.612,70	98,037	-7,197																		
1.624,39	97,908	-6,06																		
1.636,16	97,79	-4,926																		
1.648,01	97,678	-3,803																		
1.659,96	97,57	-2,664																		
1.671,98	97,469	-1,493																		
1.684,10	97,377	-0,307																		
1.696,30	97,292	0,881																		
1.708,60	97,214	2,066																		
1.720,98	97,143	3,233																		
1.733,45	97,075	4,379																		
1.746,01	97,008	5,515																		
1.758,66	96,941	6,656																		
1.771,41	96,877	7,817																		
1.784,24	96,815	9,004																		
1.797,17	96,758	10,214																		
1.810,19	96,707	11,44																		
1.823,31	96,661	12,664																		
1.836,52	96,617	13,897																		
1.849,83	96,576	15,15																		
